content,date
looking propaganda gun blamed everything never shooter standards anything else blame drunks outlaw cell phones people distracted double standard end,2022-04-10 12:17:21+00:00
apprehend motorists driving influence easter frsc,2022-04-10 12:17:15+00:00
headed straight floor served tour headed straight skin leaving daft dim,2022-04-10 12:16:43+00:00
cause kids got fetal syndrome mean everybody else,2022-04-10 12:16:38+00:00
apprehend motorists driving influence easter frsc,2022-04-10 12:16:32+00:00
every time watch british show characters even put tea white brits age horribly add mess,2022-04-10 12:15:57+00:00
quit university due problem sober landed scholarship,2022-04-10 12:15:56+00:00
lmaooo know french media talking fact grocery shop less pasta oil everything war economy percent comments long low,2022-04-10 12:15:54+00:00
watched good friends family members ruin lives due drugs,2022-04-10 12:15:34+00:00
even heard full song hook tire,2022-04-10 12:15:11+00:00
simple weed,2022-04-10 12:15:10+00:00
soda,2022-04-10 12:15:10+00:00
pretty sure favors brain either usa already tried making illegal shit,2022-04-10 12:15:02+00:00
wtf gibbering replies solely concerned urban myth entirely fictitious flora fauna act perhaps moderate consumption,2022-04-10 12:14:57+00:00
en quit university due problem sober landed scholarship source cbc,2022-04-10 12:14:42+00:00
probably good idea use kind device bathroom time make sure clean device using paper towel rubbing hydrogen peroxide,2022-04-10 12:14:20+00:00
sources carcinogen something read back claim expert care find right moment ultimately,2022-04-10 12:14:17+00:00
infused desserts suck brownies good ice cream stop adding nuts everything,2022-04-10 12:14:16+00:00
arseh jaat buddhi cannot compare national security entertainment illiterate rich guys enjoying money,2022-04-10 12:14:15+00:00
false processed exclusively liver toxin stomach food break sugar already sugar broken yeast,2022-04-10 12:14:04+00:00
wow cigarettes really calmed,2022-04-10 12:14:04+00:00
april esophageal cancer awareness month tobacco use heavy use barrett esophagus overweight older age poorly controlled acid reflux risk factors esophageal cancer talk physician screening,2022-04-10 12:14:02+00:00
saw lecturer root ordering time burst laughing,2022-04-10 12:13:44+00:00
cant legalize everything tobacco weed gambling aint good enough go rehab,2022-04-10 12:13:38+00:00
hold wrong radler shit like even taste like beer,2022-04-10 12:13:36+00:00
need lots,2022-04-10 12:13:35+00:00
think always state hallucination one verify says happened way fm internet read cure stop consumption drugs try get restful sleep try keeping diary hallucinations r fm day day freq timing description,2022-04-10 12:13:05+00:00
cutting back heavily,2022-04-10 12:13:02+00:00
drunk yesterday drunk giving proper attention gagi joke di ako lasing kagabi z,2022-04-10 12:13:01+00:00
know musk bought shares money also know ownership capped republicans afraid facts would understand case drugs clouding ability comprehend,2022-04-10 12:12:59+00:00
yes sugar addiction,2022-04-10 12:12:51+00:00
lol gimme origin bitters thing would release sweats remove list,2022-04-10 12:12:42+00:00
claim others stoned dare say toad pouring night gtfoh,2022-04-10 12:12:40+00:00
huh tell em tomato celery spaghetti sauce add gotta worst known man,2022-04-10 12:12:39+00:00
definitely point life rather pay bucks coffee,2022-04-10 12:12:24+00:00
drug usage generally decreased increased remained human history gone along,2022-04-10 12:12:03+00:00
sadly yes disabled lifetime heavy medication use stomach constant state distress tolerate thank goodness cannabis talk fentanyl patches think good without,2022-04-10 12:11:48+00:00
never used drugs life heard gop cocaine orgies though thing faithfully married man years seven children,2022-04-10 12:11:30+00:00
coming nightclub night fizzy juice gear let force chemically enhanced fake meat,2022-04-10 12:11:21+00:00
free,2022-04-10 12:11:19+00:00
name respect thing list take excess,2022-04-10 12:10:52+00:00
delivered suitcases goves cocaine stash think zelensky enough put puppet,2022-04-10 12:10:48+00:00
partake think legalised keep cannabis criminalised reaping taxes cigarettes etc hypocrisy,2022-04-10 12:10:41+00:00
year sobriety lost friends one liver cancer one cirrhosis also finally told truth grandfather died liver cancer young family speak things nearly killed prayers rock,2022-04-10 12:10:41+00:00
unraveling hum grabbing tucked away cabinet going place fancy,2022-04-10 12:10:34+00:00
juice celery,2022-04-10 12:10:28+00:00
